date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-01-02,99949.45,99949.45,0.0,163.0178,0
2026-01-05,100638.54,100743.35,46.76,8.335,9
2026-01-06,101305.07,101628.54,62.44,0.0,10
2026-01-07,100034.94,101726.35,8.19,0.6014,10
2026-01-08,100504.32,101147.63,8.19,0.6014,10
2026-01-09,100792.41,102155.09,-0.0,18.2686,9
2026-01-12,100081.37,102239.85,60.86,33.7078,8
2026-01-13,99110.86,102088.25,60.86,66.3914,6
2026-01-14,98718.76,100997.66,60.86,107.7138,3
2026-01-15,99237.68,101361.19,60.86,142.6269,1
2026-01-16,98912.49,101276.42,11.82,108.9154,3
2026-01-20,96937.67,99124.59,50.24,126.2537,2
2026-01-21,98381.64,100464.6,45.12,24.4088,8
2026-01-22,98255.05,101194.91,-0.0,0.239,10
2026-01-23,98114.12,101514.42,0.0,0.9995,10
2026-01-26,97993.23,101961.1,26.08,0.0,10
2026-01-27,98252.66,102885.41,26.08,16.9261,9
2026-01-28,98690.42,103226.11,22.56,0.9932,10
2026-01-29,98752.48,102608.27,17.75,1.7235,10
2026-01-30,99168.96,101375.86,-0.0,0.3961,10
2026-02-02,99906.66,102071.95,8.95,15.6539,9
2026-02-03,99162.04,100503.72,-0.0,0.1773,10
2026-02-04,100760.35,98748.01,-0.0,53.1298,7
2026-02-05,99278.79,97326.5,37.59,0.0,10
2026-02-06,100106.59,99383.79,37.59,0.0,10
2026-02-09,100411.31,100145.08,22.18,61.4319,6
2026-02-10,99678.57,99680.47,3.4,27.1891,8
2026-02-11,97930.77,99947.82,-0.0,0.1659,10
2026-02-12,98307.25,97915.0,30.71,0.2582,10
2026-02-13,98902.97,98123.65,24.26,0.6377,10
2026-02-17,98281.93,98022.58,17.0,46.3622,7
2026-02-18,100099.17,98754.53,10.15,44.3165,7
2026-02-19,100271.96,98376.33,20.42,45.3182,7
2026-02-20,100271.76,99246.85,-0.0,0.3101,10
2026-02-23,98375.19,98040.51,7.8,1.4387,10
2026-02-24,101018.02,99093.61,-0.0,1.4305,10
2026-02-25,101889.2,100529.8,0.84,53.7478,7
2026-02-26,103284.68,99316.94,12.57,0.0,10
2026-02-27,104336.32,98999.06,0.52,64.0387,6
2026-03-02,104215.58,99129.48,3.89,0.0,10
