date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-01-02,99949.51,99949.51,-0.0,146.3026,0
2026-01-05,100504.7,100615.19,-0.0,0.3474,9
2026-01-06,101097.74,101213.57,20.77,0.0,10
2026-01-07,99710.86,100887.32,8.26,0.0,10
2026-01-08,100261.12,100877.08,8.26,0.0,10
2026-01-09,100292.94,101544.21,5.95,0.0,10
2026-01-12,100184.93,101703.68,2.35,0.0,10
2026-01-13,98818.07,101500.33,-0.0,16.5365,9
2026-01-14,98639.58,101001.43,62.45,32.6325,7
2026-01-15,99396.65,101276.48,62.45,101.004,3
2026-01-16,99062.19,101191.62,20.18,67.8069,5
2026-01-20,97300.46,99131.69,20.18,109.8734,2
2026-01-21,98621.77,100275.77,45.73,6.0804,8
2026-01-22,98399.22,100799.53,0.27,0.0,11
2026-01-23,98648.93,100836.11,-0.0,1.0918,11
2026-01-26,98553.63,101348.17,72.96,0.9784,11
2026-01-27,98761.41,101751.96,53.48,0.0,11
2026-01-28,99104.18,101741.72,45.59,0.0,11
2026-01-29,99201.78,101539.82,23.12,0.7545,11
2026-01-30,98850.93,101236.97,13.74,17.8821,9
2026-02-02,99875.07,101740.26,13.74,50.7658,7
2026-02-03,98434.19,100880.0,3.66,0.0,11
2026-02-04,99869.71,100391.35,3.66,52.2327,7
2026-02-05,98307.7,99137.54,-0.0,0.3935,11
2026-02-06,99040.62,101039.47,-0.0,0.3935,11
2026-02-09,99135.3,101526.66,38.03,41.256,7
2026-02-10,98400.67,101258.92,5.23,0.0,10
2026-02-11,95667.12,101235.52,5.23,0.0,10
2026-02-12,94359.51,99671.54,4.84,0.0,10
2026-02-13,95766.71,99741.77,7.55,33.8737,8
2026-02-17,95520.85,99902.7,0.0,93.242,3
2026-02-18,96060.78,100405.98,3.12,90.243,3
2026-02-19,96012.05,100141.17,31.73,22.9869,7
2026-02-20,96237.55,100865.37,0.18,0.0,10
2026-02-23,95908.79,99835.4,11.15,0.0,11
2026-02-24,97803.35,100561.06,16.84,0.0,11
2026-02-25,97950.55,101409.62,-0.0,2.0475,10
2026-02-26,99136.93,100846.35,1.57,0.0,11
2026-02-27,98106.29,100362.09,2.84,0.7,11
2026-03-02,97021.78,100419.15,4.12,0.0,11
2026-03-03,97056.73,99534.02,6.48,0.0,11
2026-03-04,99740.13,100236.27,-0.0,0.252,11
2026-03-05,99999.24,99677.39,7.99,1.9337,11
2026-03-06,100779.02,98370.91,-0.0,3.3039,10
2026-03-09,100524.72,99232.64,0.0,24.8207,9
2026-03-10,100733.92,99073.16,17.59,6.9678,10
2026-03-11,99823.12,98948.81,19.75,0.0,10
2026-03-12,97217.67,97446.28,2.11,0.0,11
2026-03-13,97640.87,96894.72,2.11,0.0015,10
2026-03-16,97965.92,97880.8,2.11,33.0124,8
2026-03-17,98062.87,98138.29,2.11,81.1363,5
2026-03-18,95824.65,96768.9,35.39,29.1036,7
2026-03-19,94795.62,96530.42,4.47,28.213,7
2026-03-20,94390.11,94887.45,37.58,0.0,9
2026-03-23,94370.17,95883.77,24.25,35.6285,7
2026-03-24,94370.08,95561.9,24.25,99.6588,3
2026-03-25,94753.73,96094.44,32.73,76.6498,4
2026-03-26,94550.75,94378.32,32.73,76.6498,4
2026-03-27,95297.98,92768.99,-0.0,60.5517,5
2026-03-30,96134.9,92458.82,38.06,42.2617,6
2026-03-31,97550.21,95146.41,6.53,0.0,9
2026-04-01,97448.64,95863.28,6.53,35.7987,7
2026-04-02,97547.72,95949.61,95.87,25.9465,7
2026-04-06,97830.32,96403.14,-0.0,0.3065,9
2026-04-07,98019.54,96445.57,14.47,0.0,10
2026-04-08,100541.51,98901.99,93.83,15.8893,9
2026-04-09,101173.41,99472.57,46.37,43.2055,6
2026-04-10,100575.89,99406.74,11.98,0.0,9
2026-04-13,102267.09,100378.18,8.16,0.0,9
2026-04-14,103296.52,101601.27,1.87,0.0,10
2026-04-15,103874.05,102403.01,12.43,0.0,10
2026-04-16,104694.14,102654.65,8.61,17.685,8
2026-04-17,106857.65,103895.3,3.85,0.0,10
2026-04-20,107471.4,103687.54,3.92,0.0,11
2026-04-21,106407.38,103008.7,32.27,0.0,11
2026-04-22,106340.38,104051.84,72.3,6.3867,10
2026-04-23,105735.39,103648.05,6.18,6.1838,10
2026-04-24,106914.61,104451.25,0.57,0.0,11
2026-04-27,107081.97,104631.19,39.22,0.1456,11
2026-04-28,107054.23,104122.06,12.1,60.222,5
2026-04-29,106960.45,104105.97,36.67,24.0383,7
2026-04-30,107445.59,105141.79,0.04,0.0,10
2026-05-01,107294.43,105432.94,4.41,0.0,9
2026-05-04,108915.81,105046.7,3.2,91.2004,4
2026-05-05,111465.8,105889.4,22.26,79.6691,4
2026-05-06,112946.61,107361.21,0.84,61.4471,5
2026-05-07,112415.84,107032.02,-0.0,43.7463,6
2026-05-08,115810.47,107915.69,0.0,103.3483,3
2026-05-11,114806.46,108161.48,2.09,102.4262,3
2026-05-12,114573.81,107997.62,75.08,0.0,9
2026-05-13,113853.85,108601.85,75.08,34.8793,7
2026-05-14,114940.99,109459.18,38.32,54.2726,6
2026-05-15,114192.0,108142.46,63.98,36.1718,7
2026-05-18,114444.51,108066.38,88.43,26.8951,7
2026-05-19,116266.45,107346.57,9.04,84.0705,4
2026-05-20,117901.0,108446.77,14.59,0.0,9
2026-05-21,119829.5,108661.83,79.62,18.9318,8
2026-05-22,122753.33,109089.04,79.62,58.2978,6
2026-05-26,124499.96,109813.24,13.9,0.0,9
2026-05-27,123772.4,109794.22,17.6,3.3499,9
2026-05-28,129884.27,110399.9,17.6,29.9231,7
2026-05-29,132092.65,110674.95,17.6,174.5916,0
2026-06-01,132452.31,110976.34,17.6,174.5916,0
2026-06-02,132632.14,111127.03,17.6,174.5916,0
2026-06-03,131684.49,110347.24,90.26,153.6611,1
2026-06-04,132099.18,110764.2,90.26,153.6611,1
2026-06-05,129471.74,107905.45,90.26,153.6611,1
2026-06-08,129830.2,108149.77,90.26,175.5092,0
2026-06-09,129449.35,107832.3,90.26,175.5092,0
2026-06-10,127409.93,106132.26,90.26,175.5092,0
2026-06-11,129573.96,107936.17,90.26,175.5092,0
2026-06-12,130274.24,108519.92,90.26,175.5092,0
